name,image,ratings,no_of_ratings,discount_price,actual_price,weight_volume,discount_price_USD,actual_price_USD
"Nutraj 100% Natural Dried Premium California Walnut Kernels, 500g (2 X 250g) | Pure Without Shell Walnut Kernels | Akhrot ...",https://m.media-amazon.com/images/I/71f5UPOWDqL._AC_UL320_.jpg,3.9,"6,081",686.0,998.0,g,7.885057471264368,11.471264367816092
Sugar Free Green Natural Stevia Jar(200 g),https://m.media-amazon.com/images/I/61rBhkTJ6EL._AC_UL320_.jpg,4.3,"1,585",162.0,170.0,,1.8620689655172413,1.9540229885057472
"Daawat Pulav, Long Grains, Fluffy Basmati for finest Pulav, 1 Kg",https://m.media-amazon.com/images/I/71UO6eXC1QL._AC_UL320_.jpg,4.3,"3,907",138.0,139.0,,1.5862068965517242,1.5977011494252873
Tata Tea Gold | Assam teas with Gently Rolled Aromatic Long Leaves | Rich & Aromatic Chai | Black Tea | 500g,https://m.media-amazon.com/images/I/51kEujuYlpL._AC_UL320_.jpg,4.4,"15,528",283.0,295.0,g,3.2528735632183907,3.3908045977011496
"Wagh Bakri Premium Leaf Tea, Poly Pack, 500g",https://m.media-amazon.com/images/I/61kTHO+UX9L._AC_UL320_.jpg,4.4,"4,463",281.0,290.0,g,3.2298850574712645,3.3333333333333335
"Dabur Vedic Tea - 500gm | Handpicked from Assam, Nilgiri & Darjeeling | Soulful Aroma & Rich Taste | 30+ Ayurvedic Herbs |...",https://m.media-amazon.com/images/I/61DMPchFPLL._AC_UL320_.jpg,4,517,205.0,295.0,gm,2.3563218390804597,3.3908045977011496
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",https://m.media-amazon.com/images/I/71ehfHfPCzL._AC_UL320_.jpg,4.5,"2,539",626.0,640.0,,7.195402298850575,7.35632183908046
BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...,https://m.media-amazon.com/images/I/71qVgLGta9L._AC_UL320_.jpg,4.1,"10,450",189.0,399.0,,2.1724137931034484,4.586206896551724
"Mccain Chilli Garlic Potato Bites, 420 g Regular Pack",https://m.media-amazon.com/images/I/816voyD8jiL._AC_UL320_.jpg,4.4,"3,256",128.0,140.0,,1.471264367816092,1.6091954022988506
"Saffola Honey Gold, 100% Pure NMR Tested Honey, Made with Kashmir Honey, 1Kg",https://m.media-amazon.com/images/I/61pVnleyBgL._AC_UL320_.jpg,4.4,226,352.0,570.0,,4.045977011494253,6.551724137931035
"Red Label Natural Care Tea, Chai Made With 5 Ayurvedic Herbs, 1 Kg",https://m.media-amazon.com/images/I/615F-HVtwEL._AC_UL320_.jpg,4.4,"9,028",590.0,650.0,,6.781609195402299,7.471264367816092
Kellogg's Chocos Variety Pack 168g | Breakfast Cereal for Kids,https://m.media-amazon.com/images/I/71stDXSgbHL._AC_UL320_.jpg,4.4,"2,163",62.0,70.0,g,0.7126436781609196,0.8045977011494253
"Dabur Amla Juice: Rich Source of Vitamin C and Antioxidants for Immunity boosting |Pure, Natural and 100% Ayurvedic Juice -1L",https://m.media-amazon.com/images/I/71Dtf-ydPYL._AC_UL320_.jpg,4.2,"5,587",172.0,235.0,,1.9770114942528736,2.7011494252873565
"Catch Red Chilli Powder, 100g",https://m.media-amazon.com/images/I/71qMRn40n9L._AC_UL320_.jpg,4.4,"2,013",63.0,73.0,g,0.7241379310344828,0.8390804597701149
"Pedigree Dentastix Oral Care Dog Treat for Adult Large Breed (25 Kg+), Monthly Pack (28 Sticks) 1.08 Kg",https://m.media-amazon.com/images/I/61oEmtyEMmL._AC_UL320_.jpg,4.5,"3,656",984.0,1070.0,,11.310344827586206,12.298850574712644
"Mother Dairy Pure Healthy Ghee, 1L",https://m.media-amazon.com/images/I/91idhnLyJqL._AC_UL320_.jpg,4.2,"7,251",835.0,845.0,,9.597701149425287,9.71264367816092
"TE-A-ME Purify Green Tea, 100 Tea Bags | Green tea bags 100 pcs | Green Tea | Green Tea 100 Tea Bag Pack",https://m.media-amazon.com/images/I/71fNICQ+fJL._AC_UL320_.jpg,4.6,"1,438",227.0,325.0,,2.6091954022988504,3.735632183908046
"Hershey's Chocolate Syrup, 200g",https://m.media-amazon.com/images/I/71Wh7SUgUIL._AC_UL320_.jpg,4.4,"1,998",91.0,95.0,g,1.0459770114942528,1.0919540229885059
"Parle Monaco Classic, 400g",https://m.media-amazon.com/images/I/7127Vty6kZL._AC_UL320_.jpg,4.3,289,79.0,80.0,g,0.9080459770114943,0.9195402298850575
"Tata Tea Premium Teaveda | Premium Assam Tea Leaves | With Goodness of Time-tested Indian Ingredients -Tulsi, Elaichi, Gin...",https://m.media-amazon.com/images/I/619o61uLbgL._AC_UL320_.jpg,4.2,"2,444",126.0,145.0,,1.4482758620689655,1.6666666666666667
